rank,name,slug,poss,orapm,drapm,rapm
125,DeMarre Carroll,TOR,7978,0.7046,0.3368,1.0413
126,Caris LeVert,BRK,5717,0.9703,0.0665,1.0368
127,David Nwaba,LAL,1764,-0.5205,1.5485,1.0279
128,Shawn Long,PHI,1051,1.2562,-0.2378,1.0184
129,Trevor Ariza,HOU,12577,1.2808,-0.2669,1.0139
130,Reggie Bullock,DET,2001,0.1958,0.8121,1.0079
131,Paul Pierce,LAC,1189,0.2615,0.7321,0.9936
132,Sean Kilpatrick,BRK,8013,0.5803,0.4058,0.9861
133,Kemba Walker,CHO,11664,1.7725,-0.7882,0.9844
134,J.J. Redick,LAC,9647,1.9311,-0.9515,0.9796
135,Derrick Rose,NYK,9035,2.2513,-1.2754,0.9759
136,Chris McCullough,BRK,318,0.7394,0.2083,0.9476
137,Elfrid Payton,ORL,10628,1.2971,-0.3503,0.9468
138,Darren Collison,SAC,8750,1.4663,-0.5196,0.9468
139,Stanley Johnson,DET,5754,0.7884,0.1573,0.9457
140,Dewayne Dedmon,SAS,5573,-0.8556,1.8004,0.9448
141,Corey Brewer,HOU,4094,0.1753,0.7424,0.9177
142,Dante Exum,UTA,5122,-0.9207,1.822,0.9013
143,Karl-Anthony Towns,MIN,12910,2.6673,-1.8095,0.8577
144,Chris McCullough,TOT,357,0.6523,0.1882,0.8405
145,Jameer Nelson,DEN,8993,0.4871,0.341,0.8281
146,Brandan Wright,MEM,1862,0.1609,0.6469,0.8078
147,DeMarcus Cousins,TOT,10588,1.358,-0.5503,0.8077
148,Ersan Ilyasova,ATL,2808,0.5227,0.2497,0.7724
149,Andrew Bogut,DAL,2356,-1.985,2.7513,0.7663
150,Andrew Bogut,TOT,2357,-1.9841,2.7501,0.7659
151,John Wall,WAS,12651,1.4396,-0.6823,0.7573
152,Mason Plumlee,POR,6563,2.3073,-1.5531,0.7542
153,Roy Hibbert,CHO,2898,-0.0412,0.7934,0.7522
154,Otto Porter,WAS,11480,0.6791,0.0631,0.7423
155,Marcus Morris,DET,10964,-0.5231,1.2609,0.7379
156,Roy Hibbert,TOT,2950,-0.0449,0.7814,0.7364
157,Norman Powell,TOR,5949,0.2198,0.5063,0.7261
158,Luke Babbitt,MIA,4513,-0.2926,1.0084,0.7157
159,Andrew Wiggins,MIN,13093,2.081,-1.3689,0.7121
160,Ish Smith,DET,8399,0.1761,0.5347,0.7108
161,Terrence Ross,ORL,3323,1.7567,-1.064,0.6927
